word,definition,pos,cefr_level,theme,example_sentence,difficulty,word_type
egg,An oval food that comes from a hen,noun,A1,Daily Life,I cooked one _ for breakfast.,1,vocabulary
rice,Small white grains that you cook and eat,noun,A1,Daily Life,We had chicken and _ for dinner.,1,vocabulary
coffee,A hot brown drink made from roasted beans,noun,A1,Daily Life,She drinks a cup of _ every morning.,1,vocabulary
tea,A hot drink made from dried leaves and water,noun,A1,Daily Life,He likes to drink _ with a little sugar.,1,vocabulary
sugar,A sweet white food you add to drinks,noun,A1,Daily Life,I put one spoon of _ in my coffee.,1,vocabulary
salt,A white powder that makes food taste better,noun,A1,Daily Life,Add a little _ to the soup.,1,vocabulary
dinner,The main meal you eat in the evening,noun,A1,Daily Life,We had pasta for _ last night.,1,vocabulary
lunch,The meal you eat in the middle of the day,noun,A1,Daily Life,She ate a sandwich for _.,1,vocabulary
thirsty,Wanting to drink something,adjective,A1,Daily Life,After running I felt very _.,1,vocabulary
cook,To make food ready by heating it,verb,A1,Daily Life,My father likes to _ dinner on Sundays.,1,vocabulary
eat,To put food in your mouth and swallow it,verb,A1,Daily Life,We _ vegetables every day.,1,vocabulary
drink,To take liquid into your mouth and swallow it,verb,A1,Daily Life,Remember to _ plenty of water.,1,vocabulary
sweet,Tasting like sugar,adjective,A1,Daily Life,This cake is very _.,1,vocabulary
fruit,Sweet food that grows on plants and trees,noun,A1,Daily Life,Oranges and bananas are kinds of _.,1,vocabulary
vegetable,A plant that people eat as food,noun,A2,Daily Life,Carrots are my favourite _.,2,vocabulary
meat,Food that comes from the body of an animal,noun,A2,Daily Life,Some people do not eat _.,2,vocabulary
fish,An animal that lives in water and can be eaten,noun,A1,Daily Life,We caught a big _ in the lake.,1,vocabulary
plate,A flat dish you put food on,noun,A1,Daily Life,She put the rice on a clean _.,1,vocabulary
hot,Having a high temperature,adjective,A1,Daily Life,"Be careful, the soup is very _.",1,vocabulary
cold,Having a low temperature,adjective,A1,Daily Life,"Put on a coat, it is _ outside.",1,vocabulary
house,A building where people live,noun,A1,Daily Life,They live in a small _ near the park.,1,vocabulary
room,A space inside a building with walls,noun,A1,Daily Life,My _ has a big window.,1,vocabulary
door,The part of a building you open to go in or out,noun,A1,Daily Life,Please close the _ when you leave.,1,vocabulary
window,An opening in a wall that lets in light,noun,A1,Daily Life,Open the _ to let in fresh air.,1,vocabulary
bed,A piece of furniture you sleep on,noun,A1,Daily Life,She was tired and went to _ early.,1,vocabulary
chair,A piece of furniture you sit on,noun,A1,Daily Life,He sat down on the wooden _.,1,vocabulary
table,A piece of furniture with a flat top and legs,noun,A1,Daily Life,We put the food on the _.,1,vocabulary
floor,The flat part of a room you walk on,noun,A1,Daily Life,The children played on the _.,1,vocabulary
wall,The side of a room or building,noun,A1,Daily Life,There is a picture on the _.,1,vocabulary
key,A small metal object used to open a lock,noun,A1,Daily Life,I cannot find my house _.,1,vocabulary
wash,To clean something with water,verb,A1,Daily Life,Please _ your hands before dinner.,1,vocabulary
garden,An area near a house where plants grow,noun,A2,Daily Life,They grow vegetables in the _.,2,vocabulary
lamp,A device that gives light,noun,A2,Daily Life,She turned on the _ to read her book.,2,vocabulary
furniture,Things like chairs and tables in a room,noun,A2,Daily Life,They bought new _ for the living room.,2,vocabulary
family,A group of people who are related to you,noun,A1,People & Relationships,My _ has four people.,1,vocabulary
mother,A female parent,noun,A1,People & Relationships,My _ cooks wonderful food.,1,vocabulary
father,A male parent,noun,A1,People & Relationships,His _ works at a school.,1,vocabulary
brother,A male child of your parents,noun,A1,People & Relationships,My younger _ likes to play football.,1,vocabulary
sister,A female child of your parents,noun,A1,People & Relationships,Her _ is two years older than her.,1,vocabulary
friend,A person you like and know well,noun,A1,People & Relationships,She went to the cinema with her best _.,1,vocabulary
child,A young person who is not yet an adult,noun,A1,People & Relationships,Every _ in the class can read.,1,vocabulary
baby,A very young child,noun,A1,People & Relationships,The _ slept all afternoon.,1,vocabulary
man,An adult male person,noun,A1,People & Relationships,A tall _ stood by the door.,1,vocabulary
woman,An adult female person,noun,A1,People & Relationships,The _ smiled and said hello.,1,vocabulary
people,More than one person,noun,A1,People & Relationships,Many _ came to the party.,1,vocabulary
name,The word that someone is called,noun,A1,People & Relationships,Her _ is Maria.,1,vocabulary
love,To care about someone very much,verb,A1,People & Relationships,I _ my grandparents very much.,1,vocabulary
help,To do something useful for someone,verb,A1,People & Relationships,Can you _ me carry these bags?,1,vocabulary
meet,To come together with someone,verb,A1,People & Relationships,Let us _ at the cafe tomorrow.,1,vocabulary
talk,To say words to someone,verb,A1,People & Relationships,They like to _ about football.,1,vocabulary
kind,Friendly and caring toward others,adjective,A2,People & Relationships,She is a very _ and helpful person.,2,vocabulary
happy,Feeling pleased or glad,adjective,A1,People & Relationships,The children were _ to see their friends.,1,vocabulary
sad,Feeling unhappy,adjective,A1,People & Relationships,He felt _ when his friend moved away.,1,vocabulary
angry,Feeling strong displeasure,adjective,A2,People & Relationships,She was _ because the bus was late.,2,vocabulary
married,Having a husband or wife,adjective,A2,People & Relationships,They got _ last summer.,2,vocabulary
work,To do a job to earn money,verb,A1,Work & Career,My parents _ in an office.,1,vocabulary
job,The work that someone does for money,noun,A1,Work & Career,She found a new _ at the hospital.,1,vocabulary
office,A place where people work at desks,noun,A2,Work & Career,He goes to the _ by train.,2,vocabulary
money,Coins and notes used to buy things,noun,A1,Work & Career,I saved some _ to buy a bike.,1,vocabulary
buy,To get something by paying for it,verb,A1,Work & Career,I want to _ a new phone.,1,vocabulary
sell,To give something for money,verb,A2,Work & Career,They _ fruit at the market.,2,vocabulary
pay,To give money for something,verb,A2,Work & Career,You can _ for the ticket online.,2,vocabulary
boss,The person who is in charge at work,noun,A2,Work & Career,Her _ asked her to finish the report.,2,vocabulary
teacher,A person whose job is to teach,noun,A1,Work & Career,Our _ explained the lesson clearly.,1,vocabulary
doctor,A person whose job is to help sick people,noun,A1,Work & Career,The _ checked the patient carefully.,1,vocabulary
busy,Having a lot of things to do,adjective,A2,Work & Career,She is too _ to answer the phone.,2,vocabulary
meeting,A time when people come together to talk about work,noun,A2,Work & Career,The _ starts at nine o'clock.,2,vocabulary
travel,To go from one place to another,verb,A2,Travel & Places,They love to _ to new countries.,2,vocabulary
trip,A journey to a place and back,noun,A2,Travel & Places,We took a short _ to the mountains.,2,vocabulary
map,A drawing that shows where places are,noun,A1,Travel & Places,He looked at the _ to find the street.,1,vocabulary
road,A wide way for cars to travel on,noun,A1,Travel & Places,Cross the _ when the light is green.,1,vocabulary
car,A vehicle with four wheels and an engine,noun,A1,Travel & Places,They went to the beach by _.,1,vocabulary
bus,A large vehicle that carries many people,noun,A1,Travel & Places,I take the _ to school every day.,1,vocabulary
train,A long vehicle that travels on rails,noun,A1,Travel & Places,The _ to the city leaves at noon.,1,vocabulary
plane,A vehicle that flies in the sky,noun,A2,Travel & Places,Our _ landed safely in Paris.,2,vocabulary
airport,A place where planes take off and land,noun,A2,Travel & Places,We arrived at the _ two hours early.,2,vocabulary
hotel,A place where travellers pay to sleep,noun,A2,Travel & Places,They stayed in a small _ near the sea.,2,vocabulary
city,A large town where many people live,noun,A1,Travel & Places,London is a very big _.,1,vocabulary
street,A road in a town with houses or shops,noun,A1,Travel & Places,The shop is on a quiet _.,1,vocabulary
station,A place where trains or buses stop,noun,A2,Travel & Places,Meet me at the bus _ at six.,2,vocabulary
walk,To move on foot,verb,A1,Travel & Places,We like to _ in the park.,1,vocabulary
visit,To go to see a place or person,verb,A1,Travel & Places,I will _ my grandmother on Sunday.,1,vocabulary
stay,To remain in a place,verb,A2,Travel & Places,They will _ in this town for a week.,2,vocabulary
near,A short distance away,adjective,A1,Travel & Places,The shop is _ my house.,1,vocabulary
far,A long distance away,adjective,A1,Travel & Places,The school is too _ to walk.,1,vocabulary
body,All the physical parts of a person,noun,A1,Health & Body,Exercise is good for your _.,1,vocabulary
head,The part of the body above the neck,noun,A1,Health & Body,She had a pain in her _.,1,vocabulary
hand,The part of the body at the end of the arm,noun,A1,Health & Body,He raised his _ to ask a question.,1,vocabulary
eye,The part of the body you see with,noun,A1,Health & Body,She has one blue _ and one green.,1,vocabulary
foot,The part of the body you stand on,noun,A1,Health & Body,He hurt his _ while running.,1,vocabulary
hair,The thin threads that grow on your head,noun,A1,Health & Body,She has long brown _.,1,vocabulary
ill,Not feeling well or healthy,adjective,A2,Health & Body,He stayed home because he felt _.,2,vocabulary
sick,Feeling unwell,adjective,A1,Health & Body,The child was _ and stayed in bed.,1,vocabulary
pain,A bad feeling in part of your body,noun,A2,Health & Body,She felt a sharp _ in her back.,2,vocabulary
sleep,To rest with your eyes closed,verb,A1,Health & Body,Babies _ for many hours a day.,1,vocabulary
rest,To stop activity and relax,verb,A2,Health & Body,You should _ when you feel tired.,2,vocabulary
strong,Having a lot of power or energy,adjective,A1,Health & Body,He is _ enough to lift the box.,1,vocabulary
weak,Not having much power or energy,adjective,A2,Health & Body,She felt _ after her illness.,2,vocabulary
day,The time when it is light outside,noun,A1,Daily Life,We have three classes each _.,1,vocabulary
night,The time when it is dark outside,noun,A1,Daily Life,The stars come out at _.,1,vocabulary
morning,The early part of the day,noun,A1,Daily Life,I wake up early every _.,1,vocabulary
week,A period of seven days,noun,A1,Daily Life,I will see you next _.,1,vocabulary
month,One of the twelve parts of a year,noun,A1,Daily Life,June is my favourite _.,1,vocabulary
year,A period of twelve months,noun,A1,Daily Life,She turns ten years old this _.,1,vocabulary
hour,A period of sixty minutes,noun,A1,Daily Life,The film lasts about one _.,1,vocabulary
today,This present day,adverb,A1,Daily Life,We are going to the park _.,1,vocabulary
tomorrow,The day after today,adverb,A1,Daily Life,I will call you _.,1,vocabulary
yesterday,The day before today,adverb,A1,Daily Life,We went shopping _.,1,vocabulary
early,Before the usual time,adjective,A2,Daily Life,She woke up _ to catch the train.,2,vocabulary
late,After the usual time,adjective,A2,Daily Life,He was _ for the meeting again.,2,vocabulary
clock,A device that shows the time,noun,A1,Daily Life,The _ on the wall says ten.,1,vocabulary
soon,In a short time from now,adverb,A2,Daily Life,The bus will arrive _.,2,vocabulary
tree,A tall plant with a trunk and branches,noun,A1,Nature & Environment,A bird sat in the tall _.,1,vocabulary
flower,The colourful part of a plant,noun,A1,Nature & Environment,She picked a red _ from the garden.,1,vocabulary
sun,The bright star that gives us light and heat,noun,A1,Nature & Environment,The _ is shining today.,1,vocabulary
rain,Water that falls from the sky,noun,A1,Nature & Environment,We stayed inside because of the _.,1,vocabulary
wind,Moving air outside,noun,A2,Nature & Environment,The strong _ blew the leaves away.,2,vocabulary
snow,Soft white pieces of frozen water,noun,A2,Nature & Environment,The children played in the _.,2,vocabulary
sky,The space above the earth where clouds are,noun,A1,Nature & Environment,The _ is blue and clear today.,1,vocabulary
sea,A large area of salt water,noun,A1,Nature & Environment,We swam in the warm _.,1,vocabulary
river,A long line of water that flows to the sea,noun,A2,Nature & Environment,The boat sailed down the _.,2,vocabulary
mountain,A very high hill,noun,A2,Nature & Environment,They climbed to the top of the _.,2,vocabulary
animal,A living thing that is not a plant,noun,A1,Nature & Environment,A dog is a friendly _.,1,vocabulary
bird,An animal with wings and feathers,noun,A1,Nature & Environment,A small _ sang in the tree.,1,vocabulary
dog,A common animal that people keep as a pet,noun,A1,Nature & Environment,Their _ likes to run in the park.,1,vocabulary
cat,A small animal that people keep as a pet,noun,A1,Nature & Environment,The _ slept on the warm chair.,1,vocabulary
warm,Slightly hot in a pleasant way,adjective,A1,Nature & Environment,It was a _ and sunny morning.,1,vocabulary
open,To make something not closed,verb,A1,Daily Life,Please _ the window.,1,vocabulary
close,To make something not open,verb,A1,Daily Life,"Could you _ the door, please?",1,vocabulary
start,To begin doing something,verb,A1,Daily Life,The class will _ at nine.,1,vocabulary
stop,To end doing something,verb,A1,Daily Life,The rain did not _ all day.,1,vocabulary
read,To look at words and understand them,verb,A1,Daily Life,She likes to _ before bed.,1,vocabulary
write,To make words with a pen or keyboard,verb,A1,Daily Life,Please _ your name here.,1,vocabulary
learn,To get new knowledge or a new skill,verb,A1,Daily Life,Children _ quickly at this age.,1,vocabulary
listen,To pay attention to a sound,verb,A1,Daily Life,Please _ to the teacher carefully.,1,vocabulary
big,Large in size,adjective,A1,Daily Life,They live in a _ house.,1,vocabulary
small,Little in size,adjective,A1,Daily Life,She has a _ dog.,1,vocabulary
new,Made or bought a short time ago,adjective,A1,Daily Life,He bought a _ pair of shoes.,1,vocabulary
old,Having lived for a long time,adjective,A1,Daily Life,My grandfather is very _.,1,vocabulary
good,Of high quality or pleasant,adjective,A1,Daily Life,This is a _ book.,1,vocabulary
bad,Not good,adjective,A1,Daily Life,The food at that shop is _.,1,vocabulary
easy,Not difficult,adjective,A1,Daily Life,The test was very _.,1,vocabulary
difficult,Hard to do or understand,adjective,A2,Daily Life,This question is too _ for me.,2,vocabulary
expensive,Costing a lot of money,adjective,A2,Daily Life,That car is very _.,2,vocabulary
cheap,Costing little money,adjective,A2,Daily Life,The shoes were _ so I bought two pairs.,2,vocabulary
beautiful,Very pleasant to look at,adjective,A1,Daily Life,She wore a _ blue dress.,1,vocabulary
fast,Moving at high speed,adjective,A1,Daily Life,The _ train arrived early.,1,vocabulary
slow,Moving at low speed,adjective,A1,Daily Life,Traffic was very _ this morning.,1,vocabulary
phone,A device used to talk to people far away,noun,A1,Technology & Media,She called her mother on the _.,1,vocabulary
computer,A machine that stores and works with information,noun,A2,Technology & Media,He writes emails on his _.,2,vocabulary
internet,A system that connects computers around the world,noun,A2,Technology & Media,I found the answer on the _.,2,vocabulary
email,A message sent from one computer to another,noun,A2,Technology & Media,Please send me an _ with the details.,2,vocabulary
television,A device that shows moving pictures and sound,noun,A2,Technology & Media,They watched the news on _.,2,vocabulary
photo,A picture taken with a camera,noun,A2,Technology & Media,She took a _ of the sunset.,2,vocabulary
message,A piece of information sent to someone,noun,A2,Technology & Media,He sent me a short _ this morning.,2,vocabulary
call,To telephone someone,verb,A1,Technology & Media,I will _ you after dinner.,1,vocabulary
school,A place where children go to learn,noun,A1,Society & Culture,The children walk to _ together.,1,vocabulary
music,Sounds made by voices or instruments,noun,A1,Society & Culture,She loves to listen to _.,1,vocabulary
book,Pages with words held together to read,noun,A1,Society & Culture,He is reading an interesting _.,1,vocabulary
film,A story shown in moving pictures,noun,A2,Society & Culture,We watched a funny _ last night.,2,vocabulary
game,An activity you play for fun,noun,A1,Society & Culture,The children played a _ in the garden.,1,vocabulary
song,A short piece of music with words,noun,A1,Society & Culture,She sang a beautiful _.,1,vocabulary
party,An event where people meet to have fun,noun,A2,Society & Culture,They had a big _ for her birthday.,2,vocabulary
shop,A place where you buy things,noun,A1,Society & Culture,I bought milk at the corner _.,1,vocabulary
market,A place where people buy and sell goods,noun,A2,Society & Culture,We buy fresh fruit at the _.,2,vocabulary
language,The words people use to speak and write,noun,A2,Society & Culture,English is a useful _ to learn.,2,vocabulary
