word,pos,cefr,theme,definition,example_sentence
under,preposition,A2,General,(TBD: under),The answer is _ .
should,verb,A2,General,(TBD: should),The answer is _ .
as,adverb,A2,General,(TBD: as),The answer is _ .
state,noun,B1,General,(TBD: state),The answer is _ .
made,verb,B1,General,(TBD: made),The answer is _ .
see,verb,A2,General,(TBD: see),The answer is _ .
could,verb,A2,General,(TBD: could),The answer is _ .
after,preposition,A2,General,(TBD: after),The answer is _ .
more,adverb,B2,General,(TBD: more),The answer is _ .
then,adverb,A2,General,(TBD: then),The answer is _ .
between,preposition,A2,General,(TBD: between),The answer is _ .
your,pronoun,A2,General,(TBD: your),The answer is _ .
me,pronoun,A2,General,(TBD: me),The answer is _ .
where,adverb,A2,General,(TBD: where),The answer is _ .
each,determiner,A2,General,(TBD: each),The answer is _ .
new,adjective,A2,General,(TBD: new),The answer is _ .
more,adjective,A2,General,(TBD: more),The answer is _ .
out,particle,A2,General,(TBD: out),The answer is _ .
did,verb,A2,General,(TBD: did),The answer is _ .
now,adverb,A2,General,(TBD: now),The answer is _ .
years,noun,A2,General,(TBD: years),The answer is _ .
those,determiner,A2,General,(TBD: those),The answer is _ .
first,adjective,A2,General,(TBD: first),The answer is _ .
many,adjective,A2,General,(TBD: many),The answer is _ .
up,particle,A2,General,(TBD: up),The answer is _ .
through,preposition,A2,General,(TBD: through),The answer is _ .
shall,verb,B1,General,(TBD: shall),The answer is _ .
same,adjective,A2,General,(TBD: same),The answer is _ .
must,verb,A2,General,(TBD: must),The answer is _ .
new,noun,A2,General,(TBD: new),The answer is _ .
very,adverb,A2,General,(TBD: very),The answer is _ .
used,verb,B1,General,(TBD: used),The answer is _ .
over,preposition,A2,General,(TBD: over),The answer is _ .
because,preposition,A2,General,(TBD: because),The answer is _ .
people,noun,A2,General,(TBD: people),The answer is _ .
work,noun,A2,General,(TBD: work),The answer is _ .
year,noun,A2,General,(TBD: year),The answer is _ .
how,adverb,A2,General,(TBD: how),The answer is _ .
being,verb,A2,General,(TBD: being),The answer is _ .
part,noun,B1,General,(TBD: part),The answer is _ .
during,preposition,B1,General,(TBD: during),The answer is _ .
even,adverb,B1,General,(TBD: even),The answer is _ .
states,noun,B2,General,(TBD: states),The answer is _ .
before,preposition,A2,General,(TBD: before),The answer is _ .
both,determiner,A2,General,(TBD: both),The answer is _ .
well,adverb,A2,General,(TBD: well),The answer is _ .
number,noun,A2,General,(TBD: number),The answer is _ .
system,noun,B1,General,(TBD: system),The answer is _ .
case,noun,A2,General,(TBD: case),The answer is _ .
make,verb,A2,General,(TBD: make),The answer is _ .
per,preposition,B2,General,(TBD: per),The answer is _ .
way,noun,A2,General,(TBD: way),The answer is _ .
upon,preposition,B1,General,(TBD: upon),The answer is _ .
section,noun,A2,General,(TBD: section),The answer is _ .
however,adverb,B1,General,(TBD: however),The answer is _ .
life,noun,A2,General,(TBD: life),The answer is _ .
like,preposition,A2,General,(TBD: like),The answer is _ .
government,noun,B1,General,(TBD: government),The answer is _ .
water,noun,A2,General,(TBD: water),The answer is _ .
most,adverb,B1,General,(TBD: most),The answer is _ .
three,noun,A2,General,(TBD: three),The answer is _ .
law,noun,B1,General,(TBD: law),The answer is _ .
just,adverb,A2,General,(TBD: just),The answer is _ .
act,noun,B1,General,(TBD: act),The answer is _ .
order,noun,A2,General,(TBD: order),The answer is _ .
without,preposition,B1,General,(TBD: without),The answer is _ .
us,pronoun,A2,General,(TBD: us),The answer is _ .
man,noun,A2,General,(TBD: man),The answer is _ .
united,noun,C1,General,(TBD: united),The answer is _ .
good,adjective,A2,General,(TBD: good),The answer is _ .
court,noun,B1,General,(TBD: court),The answer is _ .
use,noun,B1,General,(TBD: use),The answer is _ .
does,verb,A2,General,(TBD: does),The answer is _ .
while,preposition,B1,General,(TBD: while),The answer is _ .
world,noun,A2,General,(TBD: world),The answer is _ .
within,preposition,B1,General,(TBD: within),The answer is _ .
information,noun,A2,General,(TBD: information),The answer is _ .
here,adverb,A2,General,(TBD: here),The answer is _ .
company,noun,B1,General,(TBD: company),The answer is _ .
service,noun,B2,General,(TBD: service),The answer is _ .
found,verb,C1,General,(TBD: found),The answer is _ .
day,noun,A2,General,(TBD: day),The answer is _ .
against,preposition,B1,General,(TBD: against),The answer is _ .
own,adjective,A2,General,(TBD: own),The answer is _ .
given,verb,B1,General,(TBD: given),The answer is _ .
high,adjective,A2,General,(TBD: high),The answer is _ .
know,verb,A2,General,(TBD: know),The answer is _ .
development,noun,B2,General,(TBD: development),The answer is _ .
another,determiner,A2,General,(TBD: another),The answer is _ .
since,preposition,B1,General,(TBD: since),The answer is _ .
power,noun,B1,General,(TBD: power),The answer is _ .
university,noun,B1,General,(TBD: university),The answer is _ .
data,noun,C1,General,(TBD: data),The answer is _ .
school,noun,A2,General,(TBD: school),The answer is _ .
take,verb,A2,General,(TBD: take),The answer is _ .
different,adjective,A2,General,(TBD: different),The answer is _ .
great,adjective,A2,General,(TBD: great),The answer is _ .
research,noun,B1,General,(TBD: research),The answer is _ .
large,adjective,A2,General,(TBD: large),The answer is _ .
house,noun,A2,General,(TBD: house),The answer is _ .
york,noun,A2,General,(TBD: york),The answer is _ .
general,adjective,B2,General,(TBD: general),The answer is _ .
city,noun,A2,General,(TBD: city),The answer is _ .
small,adjective,A2,General,(TBD: small),The answer is _ .
business,noun,A2,General,(TBD: business),The answer is _ .
still,adverb,B1,General,(TBD: still),The answer is _ .
men,noun,A2,General,(TBD: men),The answer is _ .
might,verb,B1,General,(TBD: might),The answer is _ .
get,verb,A2,General,(TBD: get),The answer is _ .
every,determiner,A2,General,(TBD: every),The answer is _ .
place,noun,A2,General,(TBD: place),The answer is _ .
committee,noun,B1,General,(TBD: committee),The answer is _ .
area,noun,B1,General,(TBD: area),The answer is _ .
group,noun,A2,General,(TBD: group),The answer is _ .
too,adverb,A2,General,(TBD: too),The answer is _ .
department,noun,B2,General,(TBD: department),The answer is _ .
children,noun,A2,General,(TBD: children),The answer is _ .
point,noun,A2,General,(TBD: point),The answer is _ .
public,adjective,B2,General,(TBD: public),The answer is _ .
important,adjective,A2,General,(TBD: important),The answer is _ .
think,verb,A2,General,(TBD: think),The answer is _ .
fact,noun,B1,General,(TBD: fact),The answer is _ .
value,noun,B1,General,(TBD: value),The answer is _ .
education,noun,B1,General,(TBD: education),The answer is _ .
last,adjective,B1,General,(TBD: last),The answer is _ .
the,noun,A2,General,(TBD: the),She opened _ door and walked inside.
come,verb,A2,General,(TBD: come),The answer is _ .
back,adverb,A2,General,(TBD: back),The answer is _ .
period,noun,A2,General,(TBD: period),The answer is _ .
control,noun,B1,General,(TBD: control),The answer is _ .
report,noun,B1,General,(TBD: report),The answer is _ .
go,verb,A2,General,(TBD: go),The answer is _ .
program,noun,A2,General,(TBD: program),The answer is _ .
office,noun,A2,General,(TBD: office),The answer is _ .
so,preposition,A2,General,(TBD: so),The answer is _ .
second,adjective,A2,General,(TBD: second),The answer is _ .
few,adjective,B1,General,(TBD: few),The answer is _ .
study,noun,B1,General,(TBD: study),The answer is _ .
say,verb,A2,General,(TBD: say),The answer is _ .
out,preposition,A2,General,(TBD: out),The answer is _ .
end,noun,A2,General,(TBD: end),The answer is _ .
health,noun,A2,General,(TBD: health),The answer is _ .
interest,noun,B1,General,(TBD: interest),The answer is _ .
thus,adverb,B2,General,(TBD: thus),The answer is _ .
war,noun,A2,General,(TBD: war),The answer is _ .
long,adjective,A2,General,(TBD: long),The answer is _ .
much,adverb,A2,General,(TBD: much),The answer is _ .
never,adverb,A2,General,(TBD: never),The answer is _ .
services,noun,B2,General,(TBD: services),The answer is _ .
board,noun,A2,General,(TBD: board),The answer is _ .
form,noun,A2,General,(TBD: form),The answer is _ .
possible,adjective,B1,General,(TBD: possible),The answer is _ .
country,noun,B1,General,(TBD: country),The answer is _ .
until,preposition,A2,General,(TBD: until),The answer is _ .
little,adjective,A2,General,(TBD: little),The answer is _ .
old,adjective,A2,General,(TBD: old),The answer is _ .
again,adverb,A2,General,(TBD: again),The answer is _ .
most,adjective,A2,General,(TBD: most),The answer is _ .
process,noun,B2,General,(TBD: process),The answer is _ .
whether,preposition,B2,General,(TBD: whether),The answer is _ .
action,noun,A2,General,(TBD: action),The answer is _ .
example,noun,A2,General,(TBD: example),The answer is _ .
certain,adjective,B1,General,(TBD: certain),The answer is _ .
members,noun,B1,General,(TBD: members),The answer is _ .
among,preposition,B1,General,(TBD: among),The answer is _ .
there,adverb,A2,General,(TBD: there),The answer is _ .
effect,noun,B1,General,(TBD: effect),The answer is _ .
rate,noun,B1,General,(TBD: rate),The answer is _ .
home,noun,A2,General,(TBD: home),The answer is _ .
several,adjective,B1,General,(TBD: several),The answer is _ .
give,verb,A2,General,(TBD: give),The answer is _ .
cases,noun,A2,General,(TBD: cases),The answer is _ .
course,noun,A2,General,(TBD: course),The answer is _ .
having,verb,A2,General,(TBD: having),The answer is _ .
line,noun,A2,General,(TBD: line),The answer is _ .
present,adjective,B2,General,(TBD: present),The answer is _ .
county,noun,B2,General,(TBD: county),The answer is _ .
women,noun,A2,General,(TBD: women),The answer is _ .
social,adjective,A2,General,(TBD: social),The answer is _ .
taken,verb,B1,General,(TBD: taken),The answer is _ .
john,noun,A2,General,(TBD: john),The answer is _ .
available,adjective,B2,General,(TBD: available),The answer is _ .
question,noun,A2,General,(TBD: question),The answer is _ .
days,noun,A2,General,(TBD: days),The answer is _ .
person,noun,A2,General,(TBD: person),The answer is _ .
president,noun,B2,General,(TBD: president),The answer is _ .
land,noun,B2,General,(TBD: land),The answer is _ .
although,preposition,B1,General,(TBD: although),The answer is _ .
local,adjective,B1,General,(TBD: local),The answer is _ .
family,noun,A2,General,(TBD: family),The answer is _ .
often,adverb,A2,General,(TBD: often),The answer is _ .
conditions,noun,B1,General,(TBD: conditions),The answer is _ .
hand,noun,A2,General,(TBD: hand),The answer is _ .
production,noun,B1,General,(TBD: production),The answer is _ .
national,noun,B1,General,(TBD: national),The answer is _ .
amount,noun,B2,General,(TBD: amount),The answer is _ .
four,noun,A2,General,(TBD: four),The answer is _ .
history,noun,A2,General,(TBD: history),The answer is _ .
figure,noun,B1,General,(TBD: figure),The answer is _ .
necessary,adjective,B1,General,(TBD: necessary),The answer is _ .
find,verb,A2,General,(TBD: find),The answer is _ .
including,verb,B2,General,(TBD: including),The answer is _ .
using,verb,A2,General,(TBD: using),The answer is _ .
air,noun,B1,General,(TBD: air),The answer is _ .
table,noun,A2,General,(TBD: table),The answer is _ .
therefore,adverb,B1,General,(TBD: therefore),The answer is _ .
following,verb,B1,General,(TBD: following),The answer is _ .
others,noun,A2,General,(TBD: others),The answer is _ .
called,verb,A2,General,(TBD: called),The answer is _ .
rather,adverb,B1,General,(TBD: rather),The answer is _ .
percent,noun,B2,General,(TBD: percent),The answer is _ .
required,verb,B2,General,(TBD: required),The answer is _ .
results,noun,B1,General,(TBD: results),The answer is _ .
al,noun,A2,General,(TBD: al),The answer is _ .
commission,noun,C1,General,(TBD: commission),The answer is _ .
god,noun,C1,General,(TBD: god),The answer is _ .
provided,verb,B2,General,(TBD: provided),The answer is _ .
policy,noun,B2,General,(TBD: policy),The answer is _ .
much,adjective,A2,General,(TBD: much),The answer is _ .
chapter,noun,B1,General,(TBD: chapter),The answer is _ .
general,noun,B2,General,(TBD: general),The answer is _ .
came,verb,A2,General,(TBD: came),The answer is _ .
property,noun,B2,General,(TBD: property),The answer is _ .
level,noun,B1,General,(TBD: level),The answer is _ .
set,verb,A2,General,(TBD: set),The answer is _ .
book,noun,A2,General,(TBD: book),The answer is _ .
far,adverb,B1,General,(TBD: far),The answer is _ .
always,adverb,A2,General,(TBD: always),The answer is _ .
field,noun,A2,General,(TBD: field),The answer is _ .
times,noun,C1,General,(TBD: times),The answer is _ .
side,noun,A2,General,(TBD: side),The answer is _ .
full,adjective,A2,General,(TBD: full),The answer is _ .
evidence,noun,B1,General,(TBD: evidence),The answer is _ .
held,verb,A2,General,(TBD: held),The answer is _ .
going,verb,B1,General,(TBD: going),The answer is _ .
name,noun,A2,General,(TBD: name),The answer is _ .
type,noun,A2,General,(TBD: type),The answer is _ .
society,noun,B1,General,(TBD: society),The answer is _ .
provide,verb,B1,General,(TBD: provide),The answer is _ .
analysis,noun,B2,General,(TBD: analysis),The answer is _ .
why,adverb,A2,General,(TBD: why),The answer is _ .
various,adjective,B2,General,(TBD: various),The answer is _ .
put,verb,A2,General,(TBD: put),The answer is _ .
head,noun,A2,General,(TBD: head),The answer is _ .
problem,noun,A2,General,(TBD: problem),The answer is _ .
ii,noun,A2,General,(TBD: ii),The answer is _ .
am,verb,A2,General,(TBD: am),The answer is _ .
least,adjective,B2,General,(TBD: least),The answer is _ .
use,verb,A2,General,(TBD: use),The answer is _ .
body,noun,A2,General,(TBD: body),The answer is _ .
management,noun,B2,General,(TBD: management),The answer is _ .
special,adjective,A2,General,(TBD: special),The answer is _ .
cost,noun,B1,General,(TBD: cost),The answer is _ .
though,preposition,B2,General,(TBD: though),The answer is _ .
become,verb,A2,General,(TBD: become),The answer is _ .
based,verb,B1,General,(TBD: based),The answer is _ .
let,verb,A2,General,(TBD: let),The answer is _ .
due,adjective,A2,General,(TBD: due),The answer is _ .
political,adjective,B1,General,(TBD: political),The answer is _ .
matter,noun,A2,General,(TBD: matter),The answer is _ .
american,noun,A2,General,(TBD: american),The answer is _ .
things,noun,A2,General,(TBD: things),The answer is _ .
less,adjective,B1,General,(TBD: less),The answer is _ .
position,noun,B1,General,(TBD: position),The answer is _ .
want,verb,A2,General,(TBD: want),The answer is _ .
trade,noun,B1,General,(TBD: trade),The answer is _ .
problems,noun,A2,General,(TBD: problems),The answer is _ .
done,verb,B1,General,(TBD: done),The answer is _ .
total,adjective,B2,General,(TBD: total),The answer is _ .
systems,noun,B1,General,(TBD: systems),The answer is _ .
bill,noun,B1,General,(TBD: bill),The answer is _ .
shown,verb,A2,General,(TBD: shown),The answer is _ .
cent,noun,B1,General,(TBD: cent),The answer is _ .
low,adjective,B1,General,(TBD: low),The answer is _ .
five,noun,A2,General,(TBD: five),The answer is _ .
areas,noun,B1,General,(TBD: areas),The answer is _ .
age,noun,A2,General,(TBD: age),The answer is _ .
known,verb,C1,General,(TBD: known),The answer is _ .
something,noun,A2,General,(TBD: something),The answer is _ .
down,particle,B1,General,(TBD: down),The answer is _ .
association,noun,B1,General,(TBD: association),The answer is _ .
himself,pronoun,B1,General,(TBD: himself),The answer is _ .
district,noun,B2,General,(TBD: district),The answer is _ .
economic,adjective,B2,General,(TBD: economic),The answer is _ .
common,adjective,B1,General,(TBD: common),The answer is _ .
nature,noun,B1,General,(TBD: nature),The answer is _ .
later,adverb,A2,General,(TBD: later),The answer is _ .
material,noun,B1,General,(TBD: material),The answer is _ .
method,noun,B1,General,(TBD: method),The answer is _ .
energy,noun,C1,General,(TBD: energy),The answer is _ .
studies,noun,A2,General,(TBD: studies),The answer is _ .
next,adjective,B1,General,(TBD: next),The answer is _ .
tax,noun,B2,General,(TBD: tax),The answer is _ .
once,adverb,A2,General,(TBD: once),The answer is _ .
industry,noun,B2,General,(TBD: industry),The answer is _ .
june,noun,A2,General,(TBD: june),The answer is _ .
best,adjective,A2,General,(TBD: best),The answer is _ .
community,noun,C1,General,(TBD: community),The answer is _ .
away,adverb,A2,General,(TBD: away),The answer is _ .
money,noun,A2,General,(TBD: money),The answer is _ .
terms,noun,B2,General,(TBD: terms),The answer is _ .
market,noun,B1,General,(TBD: market),The answer is _ .
public,noun,B1,General,(TBD: public),The answer is _ .
words,noun,A2,General,(TBD: words),The answer is _ .
party,noun,A2,General,(TBD: party),The answer is _ .
human,adjective,B1,General,(TBD: human),The answer is _ .
free,adjective,A2,General,(TBD: free),The answer is _ .
change,noun,A2,General,(TBD: change),The answer is _ .
right,noun,B1,General,(TBD: right),The answer is _ .
london,noun,A2,General,(TBD: london),The answer is _ .
above,preposition,A2,General,(TBD: above),The answer is _ .
first,adverb,A2,General,(TBD: first),The answer is _ .
seen,verb,A2,General,(TBD: seen),The answer is _ .
paper,noun,A2,General,(TBD: paper),The answer is _ .
class,noun,A2,General,(TBD: class),The answer is _ .
took,verb,B1,General,(TBD: took),The answer is _ .
child,noun,A2,General,(TBD: child),The answer is _ .
view,noun,B1,General,(TBD: view),The answer is _ .
application,noun,B2,General,(TBD: application),The answer is _ .
member,noun,B1,General,(TBD: member),The answer is _ .
south,noun,B1,General,(TBD: south),The answer is _ .
yet,adverb,A2,General,(TBD: yet),The answer is _ .
together,adverb,A2,General,(TBD: together),The answer is _ .
similar,adjective,B1,General,(TBD: similar),The answer is _ .
almost,adverb,A2,General,(TBD: almost),The answer is _ .
particular,adjective,C1,General,(TBD: particular),The answer is _ .
off,particle,B1,General,(TBD: off),The answer is _ .
secretary,noun,B1,General,(TBD: secretary),The answer is _ .
press,noun,B2,General,(TBD: press),The answer is _ .
price,noun,A2,General,(TBD: price),The answer is _ .
may,noun,A2,General,(TBD: may),The answer is _ .
left,verb,A2,General,(TBD: left),The answer is _ .
income,noun,B2,General,(TBD: income),The answer is _ .
room,noun,A2,General,(TBD: room),The answer is _ .
products,noun,B1,General,(TBD: products),The answer is _ .
already,adverb,A2,General,(TBD: already),The answer is _ .
need,verb,B1,General,(TBD: need),The answer is _ .
went,verb,B1,General,(TBD: went),The answer is _ .
date,noun,A2,General,(TBD: date),The answer is _ .
union,noun,B2,General,(TBD: union),The answer is _ .
received,verb,B1,General,(TBD: received),The answer is _ .
making,verb,B1,General,(TBD: making),The answer is _ .
bank,noun,A2,General,(TBD: bank),The answer is _ .
treatment,noun,B2,General,(TBD: treatment),The answer is _ .
students,noun,A2,General,(TBD: students),The answer is _ .
death,noun,B1,General,(TBD: death),The answer is _ .
rights,noun,A2,General,(TBD: rights),The answer is _ .
model,noun,B1,General,(TBD: model),The answer is _ .
basis,noun,B2,General,(TBD: basis),The answer is _ .
result,noun,A2,General,(TBD: result),The answer is _ .
considered,verb,B1,General,(TBD: considered),The answer is _ .
around,preposition,A2,General,(TBD: around),The answer is _ .
national,adjective,B1,General,(TBD: national),The answer is _ .
asked,verb,A2,General,(TBD: asked),The answer is _ .
on,particle,A2,General,(TBD: on),The answer is _ .
countries,noun,B1,General,(TBD: countries),The answer is _ .
food,noun,A2,General,(TBD: food),The answer is _ .
nothing,noun,A2,General,(TBD: nothing),The answer is _ .
changes,noun,A2,General,(TBD: changes),The answer is _ .
able,adjective,B2,General,(TBD: able),The answer is _ .
surface,noun,B2,General,(TBD: surface),The answer is _ .
plan,noun,A2,General,(TBD: plan),The answer is _ .
council,noun,B2,General,(TBD: council),The answer is _ .
purpose,noun,B1,General,(TBD: purpose),The answer is _ .
means,noun,C1,General,(TBD: means),The answer is _ .
july,noun,A2,General,(TBD: july),The answer is _ .
early,adjective,B1,General,(TBD: early),The answer is _ .
street,noun,A2,General,(TBD: street),The answer is _ .
force,noun,B1,General,(TBD: force),The answer is _ .
itself,pronoun,B1,General,(TBD: itself),The answer is _ .
growth,noun,B2,General,(TBD: growth),The answer is _ .
feet,noun,B2,General,(TBD: feet),The answer is _ .
include,verb,B1,General,(TBD: include),The answer is _ .
right,adjective,A2,General,(TBD: right),The answer is _ .
construction,noun,B2,General,(TBD: construction),The answer is _ .
major,adjective,B1,General,(TBD: major),The answer is _ .
young,adjective,A2,General,(TBD: young),The answer is _ .
college,noun,A2,General,(TBD: college),The answer is _ .
american,adjective,A2,General,(TBD: american),The answer is _ .
thought,verb,B1,General,(TBD: thought),The answer is _ .
support,noun,B1,General,(TBD: support),The answer is _ .
according,verb,B2,General,(TBD: according),The answer is _ .
increased,verb,B1,General,(TBD: increased),The answer is _ .
oil,noun,B1,General,(TBD: oil),The answer is _ .
along,preposition,B1,General,(TBD: along),The answer is _ .
higher,adjective,A2,General,(TBD: higher),The answer is _ .
groups,noun,B1,General,(TBD: groups),The answer is _ .
non,adjective,A2,General,(TBD: non),The answer is _ .
knowledge,noun,B1,General,(TBD: knowledge),The answer is _ .
authority,noun,B2,General,(TBD: authority),The answer is _ .
true,adjective,A2,General,(TBD: true),The answer is _ .
only,adjective,A2,General,(TBD: only),The answer is _ .
care,noun,A2,General,(TBD: care),The answer is _ .
short,adjective,A2,General,(TBD: short),The answer is _ .
building,noun,A2,General,(TBD: building),The answer is _ .
washington,noun,A2,General,(TBD: washington),The answer is _ .
series,noun,B2,General,(TBD: series),The answer is _ .
north,noun,B1,General,(TBD: north),The answer is _ .
whole,adjective,B1,General,(TBD: whole),The answer is _ .
test,noun,A2,General,(TBD: test),The answer is _ .
march,noun,B1,General,(TBD: march),The answer is _ .
river,noun,A2,General,(TBD: river),The answer is _ .
million,noun,B1,General,(TBD: million),The answer is _ .
reason,noun,A2,General,(TBD: reason),The answer is _ .
experience,noun,B1,General,(TBD: experience),The answer is _ .
population,noun,B1,General,(TBD: population),The answer is _ .
west,noun,B1,General,(TBD: west),The answer is _ .
church,noun,A2,General,(TBD: church),The answer is _ .
science,noun,A2,General,(TBD: science),The answer is _ .
account,noun,B1,General,(TBD: account),The answer is _ .
light,noun,A2,General,(TBD: light),The answer is _ .
months,noun,A2,General,(TBD: months),The answer is _ .
structure,noun,B1,General,(TBD: structure),The answer is _ .
project,noun,C1,General,(TBD: project),The answer is _ .
effects,noun,B1,General,(TBD: effects),The answer is _ .
activities,noun,A2,General,(TBD: activities),The answer is _ .
real,adjective,A2,General,(TBD: real),The answer is _ .
language,noun,A2,General,(TBD: language),The answer is _ .
addition,noun,B1,General,(TBD: addition),The answer is _ .
show,verb,A2,General,(TBD: show),The answer is _ .
whose,pronoun,A2,General,(TBD: whose),The answer is _ .
current,adjective,B2,General,(TBD: current),The answer is _ .
equipment,noun,B2,General,(TBD: equipment),The answer is _ .
paid,verb,B2,General,(TBD: paid),The answer is _ .
labor,noun,B1,General,(TBD: labor),The answer is _ .
capital,noun,B1,General,(TBD: capital),The answer is _ .
foreign,adjective,A2,General,(TBD: foreign),The answer is _ .
ever,adverb,B1,General,(TBD: ever),The answer is _ .
et,noun,A2,General,(TBD: et),The answer is _ .
father,noun,A2,General,(TBD: father),The answer is _ .
single,adjective,B1,General,(TBD: single),The answer is _ .
operation,noun,B2,General,(TBD: operation),The answer is _ .
training,noun,B1,General,(TBD: training),The answer is _ .
told,verb,A2,General,(TBD: told),The answer is _ .
plant,noun,B1,General,(TBD: plant),The answer is _ .
kind,noun,A2,General,(TBD: kind),The answer is _ .
usually,adverb,A2,General,(TBD: usually),The answer is _ .
methods,noun,B1,General,(TBD: methods),The answer is _ .
especially,adverb,B1,General,(TBD: especially),The answer is _ .
got,verb,A2,General,(TBD: got),The answer is _ .
except,preposition,B1,General,(TBD: except),The answer is _ .
themselves,pronoun,B1,General,(TBD: themselves),The answer is _ .
design,noun,A2,General,(TBD: design),The answer is _ .
specific,adjective,B1,General,(TBD: specific),The answer is _ .
greater,adjective,A2,General,(TBD: greater),The answer is _ .
described,verb,A2,General,(TBD: described),The answer is _ .
eyes,noun,A2,General,(TBD: eyes),The answer is _ .
perhaps,adverb,B1,General,(TBD: perhaps),The answer is _ .
total,noun,B2,General,(TBD: total),The answer is _ .
statement,noun,B1,General,(TBD: statement),The answer is _ .
read,verb,A2,General,(TBD: read),The answer is _ .
center,noun,B1,General,(TBD: center),The answer is _ .
white,adjective,A2,General,(TBD: white),The answer is _ .
america,noun,A2,General,(TBD: america),The answer is _ .
hours,noun,A2,General,(TBD: hours),The answer is _ .
obtained,verb,B2,General,(TBD: obtained),The answer is _ .
rates,noun,B2,General,(TBD: rates),The answer is _ .
private,adjective,B1,General,(TBD: private),The answer is _ .
administration,noun,B2,General,(TBD: administration),The answer is _ .
federal,noun,C1,General,(TBD: federal),The answer is _ .
size,noun,A2,General,(TBD: size),The answer is _ .
fig,noun,A2,General,(TBD: fig),The answer is _ .
space,noun,B1,General,(TBD: space),The answer is _ .
persons,noun,A2,General,(TBD: persons),The answer is _ .
quite,adverb,B1,General,(TBD: quite),The answer is _ .
art,noun,A2,General,(TBD: art),The answer is _ .
theory,noun,B2,General,(TBD: theory),The answer is _ .
gas,noun,B1,General,(TBD: gas),The answer is _ .
